,Id,Contingut,Bloc,Matèria,Necessari per,Relacionat amb
0,FiQ.1.1,Estratègies pròpies de l’activitat científica,Bloc 1. L'activitat científica,Física i Química,,
1,FiQ.1.2,Tecnologies de la informació i la comunicació,Bloc 1. L'activitat científica,Física i Química,,
2,FiQ.1.3,Projecte d’investigació,Bloc 1. L'activitat científica,Física i Química,,
3,FiQ.2.1,Revisió de la teoria atòmica de Dalton,Bloc 2. Aspectes quantitatius de la química,Física i Química,,
4,FiQ.2.2,Lleis dels gasos. Equació d’estat dels gasos ideals,Bloc 2. Aspectes quantitatius de la química,Física i Química,,
5,FiQ.2.3,Determinació de fórmules empíriques i moleculars,Bloc 2. Aspectes quantitatius de la química,Física i Química,,
6,FiQ.2.4,"Dissolucions: formes d’expressar la concentració, preparació i propietats col·ligatives",Bloc 2. Aspectes quantitatius de la química,Física i Química,,
7,FiQ.2.5,Mètodes actuals per a l’anàlisi de substàncies: espectroscòpia i espectrometria,Bloc 2. Aspectes quantitatius de la química,Física i Química,,
8,FiQ.3.1,Estequiometria de les reaccions. Reactiu limitant i rendiment d’una reacció,Bloc 3. Reaccions químiques,Física i Química,,
9,FiQ.3.2,Química i indústria,Bloc 3. Reaccions químiques,Física i Química,,
10,FiQ.4.1,Sistemes termodinàmics,Bloc 4. Transformacions energètiques i espontaneïtat de les reaccions químiques,Física i Química,,
11,FiQ.4.2,Primer principi de la termodinàmica. Energia interna,Bloc 4. Transformacions energètiques i espontaneïtat de les reaccions químiques,Física i Química,,
12,FiQ.4.3,Entalpia. Equacions termoquímiques,Bloc 4. Transformacions energètiques i espontaneïtat de les reaccions químiques,Física i Química,,
13,FiQ.4.4,Llei d’Hess,Bloc 4. Transformacions energètiques i espontaneïtat de les reaccions químiques,Física i Química,,
14,FiQ.4.5,Segon principi de la termodinàmica. Entropia,Bloc 4. Transformacions energètiques i espontaneïtat de les reaccions químiques,Física i Química,,
15,FiQ.4.6,Factors que intervenen en l’espontaneïtat d’una reacció química. Energia de Gibbs,Bloc 4. Transformacions energètiques i espontaneïtat de les reaccions químiques,Física i Química,,
16,FiQ.4.7,Conseqüències socials i mediambientals de les reaccions químiques de combustió,Bloc 4. Transformacions energètiques i espontaneïtat de les reaccions químiques,Física i Química,,
17,FiQ.5.1,Enllaços de l’àtom de carboni,Bloc 5. Química del carboni,Física i Química,,
18,FiQ.5.2,"Composts de carboni: Hidrocarburs, composts nitrogenats i oxigenats",Bloc 5. Química del carboni,Física i Química,,
19,FiQ.5.3,Aplicacions i propietats,Bloc 5. Química del carboni,Física i Química,,
20,FiQ.5.4,Formulació i nomenclatura IUPAC dels composts del carboni,Bloc 5. Química del carboni,Física i Química,,
21,FiQ.5.5,Isomeria estructural,Bloc 5. Química del carboni,Física i Química,,
22,FiQ.5.6,El petroli i els nous materials,Bloc 5. Química del carboni,Física i Química,,
23,FiQ.6.1,Sistemes de referència inercials. Principi de relativitat de Galileu,Bloc 6. Cinemàtica,Física i Química,,
24,FiQ.6.2,Moviment circular uniformement accelerat,Bloc 6. Cinemàtica,Física i Química,,
25,FiQ.6.3,Composició dels moviments rectilini uniforme i rectilini uniformement accelerat,Bloc 6. Cinemàtica,Física i Química,,
26,FiQ.6.4,Descripció del moviment harmònic simple (MHS),Bloc 6. Cinemàtica,Física i Química,,
27,FiQ.7.1,La força com a interacció,Bloc 7. Dinàmica,Física i Química,,
28,FiQ.7.2,Forces de contacte. Dinàmica de cossos lligats,Bloc 7. Dinàmica,Física i Química,,
29,FiQ.7.3,Forces elàstiques. Dinàmica del MAS,Bloc 7. Dinàmica,Física i Química,,
30,FiQ.7.4,Sistema de dues partícules,Bloc 7. Dinàmica,Física i Química,,
31,FiQ.7.5,Conservació del moment lineal i impuls mecànic,Bloc 7. Dinàmica,Física i Química,,
32,FiQ.7.6,Dinàmica del moviment circular uniforme,Bloc 7. Dinàmica,Física i Química,,
33,FiQ.7.7,Lleis de Kepler,Bloc 7. Dinàmica,Física i Química,,
34,FiQ.7.8,Forces centrals. Moment d’una força i moment angular. Conservació del moment angular,Bloc 7. Dinàmica,Física i Química,,
35,FiQ.7.9,Llei de gravitació universal,Bloc 7. Dinàmica,Física i Química,,
36,FiQ.7.10,Interacció electrostàtica: llei de Coulomb,Bloc 7. Dinàmica,Física i Química,,
37,FiQ.8.1,Energia mecànica i treball,Bloc 8. Energia,Física i Química,,
38,FiQ.8.2,Sistemes conservatius,Bloc 8. Energia,Física i Química,,
39,FiQ.8.3,Teorema de les forces vives,Bloc 8. Energia,Física i Química,,
40,FiQ.8.4,Energies cinètica i potencial del moviment harmònic simple,Bloc 8. Energia,Física i Química,,
41,FiQ.8.5,Diferència de potencial elèctric,Bloc 8. Energia,Física i Química,,
42,F.1.1,Estratègies pròpies de l’activitat científica,Bloc 1. L'activitat científica,Física,,
43,F.1.2,Tecnologies de la informació i la comunicació,Bloc 1. L'activitat científica,Física,,
44,F.2.1,Camp gravitatori,Bloc 2. Interacció gravitatòria,Física,,
45,F.2.2,Camps de força conservatius,Bloc 2. Interacció gravitatòria,Física,,
46,F.2.3,Intensitat del camp gravitatori,Bloc 2. Interacció gravitatòria,Física,,
47,F.2.4,Potencial gravitatori,Bloc 2. Interacció gravitatòria,Física,,
48,F.2.5,Relació entre energia i moviment orbital,Bloc 2. Interacció gravitatòria,Física,,
49,F.2.6,Caos determinista,Bloc 2. Interacció gravitatòria,Física,,
50,F.3.1,Camp elèctric,Bloc 3. Interacció electromagnètica,Física,,
51,F.3.2,Intensitat del camp,Bloc 3. Interacció electromagnètica,Física,,
52,F.3.3,Potencial elèctric,Bloc 3. Interacció electromagnètica,Física,,
53,F.3.4,Flux elèctric i llei de Gauss. Aplicacions,Bloc 3. Interacció electromagnètica,Física,,
54,F.3.5,Camp magnètic,Bloc 3. Interacció electromagnètica,Física,,
55,F.3.6,Efecte dels camps magnètics sobre càrregues en moviment,Bloc 3. Interacció electromagnètica,Física,,
56,F.3.7,El camp magnètic com a camp no conservatiu,Bloc 3. Interacció electromagnètica,Física,,
